runId,algorithmName,inputSize,timeNs,memoryKb,dateRun
1,MergeSort,100,66300,0,2026-08-12
2,QuickSort,100,34200,0,2026-08-12
3,InsertionSort,100,82700,0,2026-08-12
4,SelectionSort,100,88800,0,2026-08-12
5,MergeSort,500,409900,0,2026-08-12
6,QuickSort,500,231800,0,2026-08-12
7,InsertionSort,500,1226200,0,2026-08-12
8,SelectionSort,500,1611500,0,2026-08-12
9,MergeSort,1000,345100,0,2026-08-12
10,QuickSort,1000,114500,0,2026-08-12
11,InsertionSort,1000,1278500,0,2026-08-12
12,SelectionSort,1000,2679000,0,2026-08-12
13,MergeSort,5000,779400,0,2026-08-12
14,QuickSort,5000,826300,0,2026-08-12
15,InsertionSort,5000,7979600,0,2026-08-12
16,SelectionSort,5000,12254100,0,2026-08-12
17,MergeSort,10000,1512800,0,2026-08-12
18,QuickSort,10000,712800,0,2026-08-12
19,InsertionSort,10000,34322300,0,2026-08-12
20,SelectionSort,10000,29162800,0,2026-08-12
21,MergeSort,100,71600,0,2026-08-12
22,QuickSort,100,46800,0,2026-08-12
23,InsertionSort,100,69300,0,2026-08-12
24,SelectionSort,100,82800,0,2026-08-12
25,MergeSort,500,637800,0,2026-08-12
26,QuickSort,500,244100,0,2026-08-12
27,InsertionSort,500,3066000,0,2026-08-12
28,SelectionSort,500,1373300,0,2026-08-12
29,MergeSort,1000,254300,0,2026-08-12
30,QuickSort,1000,131100,0,2026-08-12
31,InsertionSort,1000,1218700,0,2026-08-12
32,SelectionSort,1000,1633100,0,2026-08-12
33,MergeSort,5000,1069800,0,2026-08-12
34,QuickSort,5000,558700,0,2026-08-12
35,InsertionSort,5000,9535400,0,2026-08-12
36,SelectionSort,5000,14857900,0,2026-08-12
37,MergeSort,10000,1463700,0,2026-08-12
38,QuickSort,10000,810200,0,2026-08-12
39,InsertionSort,10000,34030400,0,2026-08-12
40,SelectionSort,10000,28334600,0,2026-08-12
41,LinearSearch,100,5500,0,2026-08-12
42,BinarySearch,100,8300,0,2026-08-12
43,LinearSearch,500,6400,0,2026-08-12
44,BinarySearch,500,2000,0,2026-08-12
45,LinearSearch,1000,8900,0,2026-08-12
46,BinarySearch,1000,2100,0,2026-08-12
47,LinearSearch,5000,44000,0,2026-08-12
48,BinarySearch,5000,2600,0,2026-08-12
49,LinearSearch,10000,61900,0,2026-08-12
50,BinarySearch,10000,2700,0,2026-08-12
51,HashTable_Insert,100,78100,0,2026-08-12
52,HashTable_Search,100,64600,0,2026-08-12
53,HashTable_Insert,500,238600,0,2026-08-12
54,HashTable_Search,500,81300,0,2026-08-12
55,HashTable_Insert,1000,191600,0,2026-08-12
56,HashTable_Search,1000,87200,0,2026-08-12
57,HashTable_Insert,5000,1321100,0,2026-08-12
58,HashTable_Search,5000,439700,0,2026-08-12
59,HashTable_Insert,10000,1392000,0,2026-08-12
60,HashTable_Search,10000,782000,0,2026-08-12
61,HashTable_Insert,20000,2387900,0,2026-08-12
62,HashTable_Search,20000,952900,0,2026-08-12
63,BST_Insert,100,2026100,0,2026-08-12
64,RedBlackTree_Insert,100,2023500,0,2026-08-12
65,BST_Search,100,76300,0,2026-08-12
66,RedBlackTree_Search,100,34800,0,2026-08-12
67,BST_Insert,500,188500,0,2026-08-12
68,RedBlackTree_Insert,500,449700,0,2026-08-12
69,BST_Search,500,139100,0,2026-08-12
70,RedBlackTree_Search,500,292000,0,2026-08-12
71,BST_Insert,1000,162600,0,2026-08-12
72,RedBlackTree_Insert,1000,342700,0,2026-08-12
73,BST_Search,1000,155300,0,2026-08-12
74,RedBlackTree_Search,1000,241700,0,2026-08-12
75,BST_Insert,5000,768200,0,2026-08-12
76,RedBlackTree_Insert,5000,736200,0,2026-08-12
77,BST_Search,5000,844400,0,2026-08-12
78,RedBlackTree_Search,5000,782300,0,2026-08-12
79,BST_Insert,10000,1549400,0,2026-08-12
80,RedBlackTree_Insert,10000,1789800,0,2026-08-12
81,BST_Search,10000,1443000,0,2026-08-12
82,RedBlackTree_Search,10000,1297300,0,2026-08-12
83,PriorityQueue_Enqueue,100,3068300,0,2026-08-12
84,PriorityQueue_Dequeue,100,132300,0,2026-08-12
85,PriorityQueue_Enqueue,500,146700,0,2026-08-12
86,PriorityQueue_Dequeue,500,226700,0,2026-08-12
87,PriorityQueue_Enqueue,1000,93900,0,2026-08-12
88,PriorityQueue_Dequeue,1000,229600,0,2026-08-12
89,PriorityQueue_Enqueue,5000,438100,0,2026-08-12
90,PriorityQueue_Dequeue,5000,796300,0,2026-08-12
91,PriorityQueue_Enqueue,10000,576200,0,2026-08-12
92,PriorityQueue_Dequeue,10000,1917400,0,2026-08-12
93,PriorityQueue_Enqueue,20000,822300,0,2026-08-12
94,PriorityQueue_Dequeue,20000,3341300,0,2026-08-12
95,MergeSort,100,230233,171,2026-08-18
96,QuickSort,100,109166,157,2026-08-18
97,InsertionSort,100,182400,133,2026-08-18
98,SelectionSort,100,227466,157,2026-08-18
99,MergeSort,500,285333,135,2026-08-18
100,QuickSort,500,396733,135,2026-08-18
101,InsertionSort,500,1677300,135,2026-08-18
102,SelectionSort,500,4448566,135,2026-08-18
103,MergeSort,1000,1151600,137,2026-08-18
104,QuickSort,1000,402200,137,2026-08-18
105,InsertionSort,1000,1376833,137,2026-08-18
106,SelectionSort,1000,703166,137,2026-08-18
107,MergeSort,5000,875600,552,2026-08-18
108,QuickSort,5000,805800,152,2026-08-18
109,InsertionSort,5000,19546766,152,2026-08-18
110,SelectionSort,5000,35839000,152,2026-08-18
111,MergeSort,10000,3454133,978,2026-08-18
112,QuickSort,10000,1520533,172,2026-08-18
113,InsertionSort,10000,24000500,172,2026-08-18
114,SelectionSort,10000,119065633,172,2026-08-18
115,LinearSearch,100,39033,0,2026-08-18
116,BinarySearch,100,27766,0,2026-08-18
117,LinearSearch,500,35966,0,2026-08-18
118,BinarySearch,500,8266,0,2026-08-18
119,LinearSearch,1000,46433,0,2026-08-18
120,BinarySearch,1000,29533,0,2026-08-18
121,LinearSearch,5000,104300,0,2026-08-18
122,BinarySearch,5000,24300,0,2026-08-18
123,LinearSearch,10000,334800,0,2026-08-18
124,BinarySearch,10000,57666,0,2026-08-18
125,HashTable_Insert,100,250733,157,2026-08-18
126,HashTable_Search,100,93800,0,2026-08-18
127,HashTable_Insert,500,312166,133,2026-08-18
128,HashTable_Search,500,356000,133,2026-08-18
129,HashTable_Insert,1000,305000,133,2026-08-18
