fromLocationId,toLocationId,distance_m,travelTime_min,roadConditionWeight
1,35,427,2.6,1.22
2,35,225,3.1,1.22
3,35,446,5.7,1.16
4,35,402,4.1,1.01
5,35,211,3.2,1.18
6,35,387,3,1.19
7,35,379,4.1,1.13
8,35,242,6,1
9,35,181,5.5,1.1
10,35,179,3.1,1.23
11,35,152,2.5,1.03
12,35,276,5,1.24
13,35,473,4.3,1.04
14,35,293,2.4,1.09
15,35,421,5.1,1.26
2,3,20,0.5,1
4,13,60,1.5,1.05
6,5,80,2,1.1
16,35,495,4.2,1.03
17,35,538,4.4,1.12
18,35,240,8.1,1.35
19,35,394,4.7,1.25
20,35,386,4,1.14
21,35,543,4.6,1.37
22,35,531,3.4,1.25
23,35,473,7.4,1.07
24,35,394,4.6,1.37
25,35,552,6.3,1.27
26,35,631,7.6,1.02
27,35,620,3.2,1.13
16,21,50,1.2,1
17,18,70,1.5,1
19,20,90,2,1.05
28,36,1048,6,1.76
28,30,1461,13.6,1.33
29,36,1842,12.5,1.74
29,30,1239,5.6,1.26
30,36,2025,13.4,1.43
30,28,1497,8.7,1.43
31,36,1241,8.3,1.8
31,30,1343,9.4,1.5
32,36,2263,6.6,1.61
32,30,1164,10.6,1.35
33,34,60,1.5,1
34,35,200,4,1.1
35,36,250,5,1.15
36,40,400,8,1.2
36,41,800,14,1.3
37,32,300,6,1.1
38,35,500,9,1.2
39,35,150,3,1
56,36,600,11,1.25
57,44,100,2,1
58,21,40,1,1
42,40,455,8,1.16
43,40,433,7.3,1
44,40,208,6.4,1.16
45,40,286,6.8,1.1
46,40,300,5.2,1.14
47,40,284,7.9,1.23
42,43,120,2.5,1.05
43,45,100,2,1
45,46,90,2,1
46,44,110,2.2,1.05
44,57,100,2,1
48,40,659,14.3,1.36
49,40,552,13.7,1.25
50,40,501,8.2,1.33
51,40,676,14.6,1.38
48,49,40,1.1,1
49,50,45,1.2,1
50,51,35,1,1
52,40,870,7,1.2
53,40,409,7.9,1.21
54,40,825,13.5,1.17
55,40,523,14,1.38
52,53,50,1.2,1
53,54,55,1.3,1
54,55,48,1.1,1
16,30,400,8,1.15
21,30,420,8.5,1.15
35,30,350,7,1.2
1,11,150,3,1
2,9,200,4,1.05
3,10,180,3.5,1
4,6,120,2.5,1
5,7,160,3.2,1.05
12,15,220,4.5,1.1
13,14,190,3.8,1
16,17,100,2,1
18,19,80,1.8,1
20,27,130,2.8,1.05
22,23,150,3,1
24,25,140,2.9,1
25,26,110,2.3,1
26,27,95,2,1
28,29,300,5,1.1
31,32,600,10,1.2
33,39,200,4,1
34,39,180,3.6,1
35,39,100,2,1
36,39,300,5.5,1.1
37,38,400,7,1.15
40,41,500,9,1.2
42,44,130,2.6,1
43,46,140,2.8,1
45,47,160,3.2,1.05
48,50,60,1.4,1
49,51,55,1.3,1
52,54,65,1.5,1
53,55,60,1.4,1
56,30,400,7.5,1.2
57,42,120,2.4,1
58,16,60,1.3,1
11,34,150,3,1
1,39,200,4,1
14,5,130,2.7,1
17,20,90,2,1
21,58,40,1,1
30,35,300,6,1.15
28,35,350,6.5,1.15
32,37,250,5,1.1
33,58,90,2,1
40,42,100,2,1
40,43,110,2.2,1
40,45,105,2.1,1
40,46,115,2.3,1
40,47,140,2.8,1
40,48,450,8.5,1.3
40,49,460,8.7,1.3
40,50,440,8.3,1.3
40,51,470,8.9,1.3
40,52,480,9,1.3
40,53,490,9.2,1.3
40,54,500,9.5,1.3
40,55,510,9.7,1.3
