algorithm,locations,roads,medianTimeNs
BFS,10,14,1060
BFS,20,33,974
BFS,30,54,1544
BFS,40,79,2098
BFS,50,98,2956
BFS,58,117,3562
DFS,10,14,1592
DFS,20,33,1603
DFS,30,54,5182
DFS,40,79,3966
DFS,50,98,5347
DFS,58,117,7120
Dijkstra,10,14,1210
Dijkstra,20,33,1100
Dijkstra,30,54,1913
Dijkstra,40,79,2731
Dijkstra,50,98,3733
Dijkstra,58,117,4270
Prim,10,14,1310
Prim,20,33,1290
Prim,30,54,3699
Prim,40,79,3047
Prim,50,98,4138
Prim,58,117,4715
Kruskal,10,14,1527
Kruskal,20,33,1317
Kruskal,30,54,2363
Kruskal,40,79,3543
Kruskal,50,98,4532
Kruskal,58,117,5476
